Time;Load_1;Load_2;Hydro_ROR_1;Hydro_STOR_1;Hydro_ROR_2;Hydro_STOR_2;Wind_1;Wind_2;Solar_1;Solar_2;CCGT.ElectricityPrice;OCGT.ElectricityPrice;Nuclear.ElectricityPrice;Prix_poubelle;Prix_reseau
151200;78119;70050;5387;0;4040;0;2508;6106;176;215;56.44;96.11;11.5;0;10000
154800;83744;72266;6075;0;4556;0;2400;6222;75;0;56.44;96.11;11.5;0;10000
158400;85400;71153;6380;0;4785;0;2161;6201;0;0;56.44;96.11;11.5;0;10000
162000;82630;67954;6205;0;4653;0;2044;6113;0;0;56.44;96.11;11.5;0;10000
165600;78753;64802;5829;0;4372;0;1775;6061;0;0;56.44;96.11;11.5;0;10000
169200;76586;61597;5706;0;4279;0;1536;5997;0;0;56.44;96.11;11.5;0;10000
172800;79596;57047;5474;1859;4105;1394;1393;5959;0;0;56.44;96.11;11.5;0;10000
176400;77930;52304;5331;0;3998;0;1534;5722;0;0;56.44;96.11;11.5;0;10000
180000;73834;49158;5058;0;3793;0;1811;5501;0;0;56.44;96.11;11.5;0;10000
183600;72602;47146;4605;0;3453;0;1941;5173;0;0;56.44;96.11;11.5;0;10000
187200;69095;45815;4238;0;3178;0;2154;5069;0;0;56.44;96.11;11.5;0;10000
190800;66576;45310;3846;0;2885;0;2568;5027;0;0;56.44;96.11;11.5;0;10000
194400;66277;45501;3686;0;2764;0;2996;5039;0;0;56.44;96.11;11.5;0;10000
198000;67692;46944;3717;0;2787;0;3284;4739;0;0;56.44;96.11;11.5;0;10000
201600;69506;50148;3815;0;2861;0;3788;4618;0;0;56.44;96.11;11.5;0;10000
205200;71632;53932;4383;0;3287;0;4517;4596;7;56;56.44;96.11;11.5;0;10000
208800;73811;58561;4893;0;3670;0;5346;4664;427;897;56.44;96.11;11.5;0;10000
212400;76156;62205;5391;0;4043;0;5992;4398;1524;1492;56.44;96.11;11.5;0;10000
216000;77105;63876;5514;0;4136;0;6605;4261;2696;1605;56.44;96.11;11.5;0;10000
219600;78231;63926;5481;0;4110;0;7473;4239;3295;1548;56.44;96.11;11.5;0;10000
223200;78402;63240;5324;0;3993;0;8298;3971;3492;1535;56.44;96.11;11.5;0;10000
226800;75353;62211;4739;0;3554;0;8931;3703;3060;1411;56.44;96.11;11.5;0;10000
230400;72345;61839;4236;0;3177;0;9180;3556;2009;1152;56.44;96.11;11.5;0;10000
234000;70660;63111;4060;0;3045;0;9180;3657;864;797;56.44;96.11;11.5;0;10000
237600;71756;67376;4572;0;3429;0;9180;3584;102;10;56.44;96.11;11.5;0;10000
241200;76056;69881;5363;0;4022;0;9180;3437;8;0;56.44;96.11;11.5;0;10000
244800;77472;68981;5924;0;4443;0;8864;3247;1;0;56.44;96.11;11.5;0;10000
248400;74704;65983;5627;0;4220;0;7791;3344;0;0;56.44;96.11;11.5;0;10000
252000;71040;63087;5348;0;4011;0;6445;3481;0;0;56.44;96.11;11.5;0;10000
255600;69048;60320;5474;0;4106;0;5440;3553;0;0;56.44;96.11;11.5;0;10000
259200;72246;56457;5372;1243;4029;932;4347;3781;0;0;56.44;96.11;11.5;0;10000
262800;70917;52257;5064;0;3798;0;3666;3985;0;0;56.44;96.11;11.5;0;10000
266400;66690;49228;4762;0;3572;0;3333;4089;0;0;56.44;96.11;11.5;0;10000
270000;65142;47186;4485;0;3364;0;3111;4060;0;0;56.44;96.11;11.5;0;10000
273600;61524;45715;4186;0;3139;0;2805;4098;0;0;56.44;96.11;11.5;0;10000
277200;58797;45063;4071;0;3053;0;2336;4213;0;0;56.44;96.11;11.5;0;10000
280800;57855;44804;4113;0;3084;0;1945;4143;0;0;56.44;96.11;11.5;0;10000
284400;58619;45080;4205;0;3154;0;1769;4101;0;0;56.44;96.11;11.5;0;10000
288000;59816;46728;4492;0;3369;0;1582;4023;0;0;56.44;96.11;11.5;0;10000
291600;61453;48951;4743;0;3557;0;1394;3981;5;56;56.44;96.11;11.5;0;10000
295200;63274;52714;5043;0;3782;0;1318;3854;485;1283;56.44;96.11;11.5;0;10000
298800;66207;56617;5445;0;4084;0;1239;3746;1867;2894;56.44;96.11;11.5;0;10000
302400;68304;59687;5889;0;4417;0;1160;3762;3129;3762;56.44;96.11;11.5;0;10000
306000;70633;60185;6047;0;4535;0;1049;3811;3993;4005;56.44;96.11;11.5;0;10000
309600;71226;59376;5955;0;4466;0;1057;3754;3939;4161;56.44;96.11;11.5;0;10000
313200;67714;58276;5732;0;4299;0;1063;3673;3492;3552;56.44;96.11;11.5;0;10000
316800;64893;57766;5623;0;4217;0;1075;3457;2347;2984;56.44;96.11;11.5;0;10000
320400;63844;59222;5589;0;4192;0;1053;3291;1018;1779;56.44;96.11;11.5;0;10000
324000;66321;64508;5792;0;4344;0;1107;3265;133;404;56.44;96.11;11.5;0;10000
327600;73207;67291;6395;0;4796;0;1087;3252;7;0;56.44;96.11;11.5;0;10000
331200;76741;67062;6798;0;5098;0;1147;3317;0;0;56.44;96.11;11.5;0;10000
334800;75657;65146;6677;0;5008;0;1237;3301;0;0;56.44;96.11;11.5;0;10000
338400;72796;62898;6456;0;4842;0;1238;3184;0;0;56.44;96.11;11.5;0;10000
342000;70861;60428;6468;0;4851;0;1360;2979;0;0;56.44;96.11;11.5;0;10000
345600;74023;56085;6590;2701;4942;2026;1346;2817;14;0;56.44;96.11;11.5;0;10000
349200;73049;51613;6507;0;4880;0;1398;2666;0;0;56.44;96.11;11.5;0;10000
352800;69821;48950;6259;0;4694;0;1450;2681;0;0;56.44;96.11;11.5;0;10000
356400;69365;47498;6058;0;4544;0;1429;2775;0;0;56.44;96.11;11.5;0;10000
360000;66650;46836;5942;0;4457;0;1343;2808;0;0;56.44;96.11;11.5;0;10000
363600;65007;46993;5808;0;4356;0;1185;2908;0;0;56.44;96.11;11.5;0;10000
367200;66821;48745;5792;0;4344;0;1068;3030;0;0;56.44;96.11;11.5;0;10000
370800;72688;53628;5896;0;4422;0;963;3129;0;0;56.44;96.11;11.5;0;10000
374400;81630;60898;6386;0;4790;0;1031;3167;0;0;56.44;96.11;11.5;0;10000
378000;86678;67056;6836;0;5127;0;1158;3291;2;67;56.44;96.11;11.5;0;10000
381600;87219;70427;6889;0;5166;0;1094;3293;670;1103;56.44;96.11;11.5;0;10000
385200;87665;72284;7007;0;5255;0;971;3220;2468;2572;56.44;96.11;11.5;0;10000
388800;87677;72897;7113;0;5335;0;744;3067;4119;3720;56.44;96.11;11.5;0;10000
392400;87808;72199;7252;0;5439;0;584;2807;5227;4169;56.44;96.11;11.5;0;10000
396000;87145;71409;6949;0;5211;0;506;2624;5534;4090;56.44;96.11;11.5;0;10000
399600;85393;70265;6817;0;5112;0;425;2364;5093;3430;56.44;96.11;11.5;0;10000
403200;82588;69830;6638;0;4978;0;406;2177;3791;2328;56.44;96.11;11.5;0;10000
406800;81768;70864;6620;0;4965;0;446;2046;1749;1436;56.44;96.11;11.5;0;10000
410400;84163;75296;6806;0;5104;0;542;2046;199;353;56.44;96.11;11.5;0;10000
414000;90220;76550;7405;0;5554;0;630;2024;2;0;56.44;96.11;11.5;0;10000
417600;92777;75340;7756;0;5817;0;685;1972;0;0;56.44;96.11;11.5;0;10000
421200;88831;71965;7417;0;5562;0;694;1873;0;0;56.44;96.11;11.5;0;10000
424800;83802;68445;6885;0;5164;0;704;1770;0;0;56.44;96.11;11.5;0;10000
428400;80722;64646;6695;0;5021;0;800;1633;0;0;56.44;96.11;11.5;0;10000
432000;83150;59483;6842;3218;5131;2413;894;1590;0;0;56.44;96.11;11.5;0;10000
435600;81642;54588;6659;0;4994;0;925;1628;0;0;56.44;96.11;11.5;0;10000
439200;77480;51599;6328;0;4746;0;919;1775;0;0;56.44;96.11;11.5;0;10000
442800;76768;49884;6223;0;4667;0;916;1894;0;0;56.44;96.11;11.5;0;10000
446400;73999;48869;6158;0;4619;0;953;1983;0;0;56.44;96.11;11.5;0;10000
450000;72287;48606;6032;0;4524;0;975;2035;0;0;56.44;96.11;11.5;0;10000
453600;73788;49344;5963;0;4472;0;1040;2119;0;0;56.44;96.11;11.5;0;10000
457200;79482;52514;6003;0;4502;0;1257;2121;0;0;56.44;96.11;11.5;0;10000
460800;88197;57751;6336;0;4752;0;1530;2084;0;0;56.44;96.11;11.5;0;10000
464400;92890;62199;6749;0;5061;0;1570;2159;5;99;56.44;96.11;11.5;0;10000
468000;93062;64980;6969;0;5227;0;1532;2315;583;1715;56.44;96.11;11.5;0;10000
471600;92812;67244;7093;0;5319;0;1582;2286;2083;3276;56.44;96.11;11.5;0;10000
475200;92671;68540;7145;0;5358;0;1632;2283;3462;4352;56.44;96.11;11.5;0;10000
478800;92482;68010;7068;0;5301;0;1680;2205;4218;4589;56.44;96.11;11.5;0;10000
482400;91280;66665;6985;0;5238;0;1684;2179;4362;4339;56.44;96.11;11.5;0;10000
486000;89517;65291;6785;0;5088;0;1772;2269;3958;3663;56.44;96.11;11.5;0;10000
489600;86745;64731;6701;0;5025;0;1869;2375;2746;2613;56.44;96.11;11.5;0;10000
493200;85755;65971;6621;0;4966;0;2011;2594;1187;1803;56.44;96.11;11.5;0;10000
496800;87708;71218;6704;0;5028;0;2197;2774;113;419;56.44;96.11;11.5;0;10000
500400;92914;73563;7213;0;5410;0;2214;2911;7;0;56.44;96.11;11.5;0;10000
504000;94678;73279;7565;0;5674;0;2189;3030;1;0;56.44;96.11;11.5;0;10000
507600;90382;70940;7363;0;5522;0;2134;3009;0;0;56.44;96.11;11.5;0;10000
511200;84846;68103;6882;0;5161;0;1993;3125;0;0;56.44;96.11;11.5;0;10000
514800;81265;64688;6647;0;4985;0;1939;3066;0;0;56.44;96.11;11.5;0;10000
518400;83417;59436;6644;3125;4983;2343;1844;2927;0;0;56.44;96.11;11.5;0;10000
522000;81563;54460;6568;0;4926;0;1481;2791;0;0;56.44;96.11;11.5;0;10000
525600;77292;51621;6334;0;4751;0;1141;2676;0;0;56.44;96.11;11.5;0;10000
529200;76416;50225;6156;0;4617;0;927;2560;0;0;56.44;96.11;11.5;0;10000
532800;73455;49659;6026;0;4520;0;789;2539;0;0;56.44;96.11;11.5;0;10000
536400;71650;49835;5898;0;4423;0;625;2465;0;0;56.44;96.11;11.5;0;10000
540000;73293;51930;5759;0;4319;0;542;2411;0;0;56.44;96.11;11.5;0;10000
543600;78887;59089;5889;0;4417;0;568;2390;0;0;56.44;96.11;11.5;0;10000
547200;87261;68396;6541;0;4906;0;760;2593;0;0;56.44;96.11;11.5;0;10000
550800;92322;75443;7043;0;5282;0;1049;2788;5;70;56.44;96.11;11.5;0;10000
554400;92330;78001;7266;0;5449;0;1257;2921;518;1268;56.44;96.11;11.5;0;10000
558000;91613;79222;7291;0;5468;0;1449;2908;2112;2661;56.44;96.11;11.5;0;10000
561600;90991;79711;7206;0;5405;0;1329;2941;3704;3340;56.44;96.11;11.5;0;10000
565200;90618;78396;7158;0;5368;0;1173;3087;4978;3733;56.44;96.11;11.5;0;10000
568800;89544;77945;7069;0;5301;0;1063;3213;5325;3595;56.44;96.11;11.5;0;10000
572400;87367;77272;6706;0;5030;0;1101;3139;4879;3346;56.44;96.11;11.5;0;10000
576000;84533;76952;6522;0;4892;0;1197;3155;3593;2011;56.44;96.11;11.5;0;10000
579600;83347;77980;6518;0;4889;0;1342;3293;1726;985;56.44;96.11;11.5;0;10000
583200;85069;82342;6573;0;4930;0;1710;3542;242;322;56.44;96.11;11.5;0;10000
586800;90615;83107;7214;0;5411;0;2414;3773;5;0;56.44;96.11;11.5;0;10000
590400;92707;81488;7468;0;5601;0;3030;3969;0;0;56.44;96.11;11.5;0;10000
594000;88475;77793;6859;0;5144;0;3462;4143;0;0;56.44;96.11;11.5;0;10000
597600;83568;73546;6386;0;4789;0;3944;4249;0;0;56.44;96.11;11.5;0;10000
601200;80386;68447;6071;0;4553;0;4238;4328;0;0;56.44;96.11;11.5;0;10000
604800;82406;62559;6179;2351;4634;1763;4630;4431;0;0;56.44;96.11;11.5;0;10000
608400;80530;57193;6161;0;4621;0;4872;4409;0;0;56.44;96.11;11.5;0;10000
612000;76063;54120;5876;0;4407;0;5018;4521;0;0;56.44;96.11;11.5;0;10000
615600;75006;52657;5643;0;4232;0;4983;4645;0;0;56.44;96.11;11.5;0;10000
619200;71795;51932;5595;0;4196;0;5274;4755;0;0;56.44;96.11;11.5;0;10000
622800;69726;52069;5501;0;4126;0;5539;4814;0;0;56.44;96.11;11.5;0;10000
626400;70920;54015;5406;0;4054;0;5826;4799;0;0;56.44;96.11;11.5;0;10000
630000;76286;60955;5513;0;4135;0;6232;4978;0;0;56.44;96.11;11.5;0;10000
633600;84754;70679;6014;0;4510;0;6605;4998;0;0;56.44;96.11;11.5;0;10000
637200;88805;77433;6557;0;4918;0;7137;5047;7;62;56.44;96.11;11.5;0;10000
640800;88498;79461;6616;0;4962;0;7512;5039;710;1184;56.44;96.11;11.5;0;10000
644400;87961;80355;6369;0;4777;0;7865;4998;2573;2006;56.44;96.11;11.5;0;10000
648000;87672;80454;6300;0;4725;0;8145;4787;4035;2629;56.44;96.11;11.5;0;10000
651600;87175;78624;6409;0;4807;0;8342;4705;4811;2962;56.44;96.11;11.5;0;10000
655200;86214;78219;6357;0;4768;0;8454;4764;4462;2805;56.44;96.11;11.5;0;10000
658800;84203;77208;6105;0;4579;0;8600;4842;3790;2597;56.44;96.11;11.5;0;10000
662400;81457;76949;5999;0;4499;0;7949;4815;2784;2249;56.44;96.11;11.5;0;10000
666000;80075;77836;5972;0;4479;0;6958;4987;1229;1798;56.44;96.11;11.5;0;10000
669600;81719;81546;6134;0;4601;0;6411;5017;143;414;56.44;96.11;11.5;0;10000
673200;87034;82694;6481;0;4860;0;6024;5390;8;0;56.44;96.11;11.5;0;10000
676800;88885;81360;6892;0;5169;0;5812;5965;1;0;56.44;96.11;11.5;0;10000
680400;84827;77746;6335;0;4751;0;5561;6228;0;0;56.44;96.11;11.5;0;10000
684000;79899;73342;5856;0;4392;0;5475;6314;0;0;56.44;96.11;11.5;0;10000
687600;76603;68053;5734;0;4300;0;5403;6422;0;0;56.44;96.11;11.5;0;10000
691200;78759;62051;5799;2386;4349;1789;5752;6210;0;0;56.44;96.11;11.5;0;10000
694800;76790;56889;5712;0;4284;0;6351;6053;0;0;56.44;96.11;11.5;0;10000
698400;72448;53761;5578;0;4184;0;7165;5865;0;0;56.44;96.11;11.5;0;10000
702000;71316;52228;5410;0;4057;0;7741;5884;0;0;56.44;96.11;11.5;0;10000
705600;68437;51575;5342;0;4007;0;7737;5903;0;0;56.44;96.11;11.5;0;10000
709200;66666;51912;5313;0;3985;0;8440;6101;0;0;56.44;96.11;11.5;0;10000
712800;67739;53867;5315;0;3986;0;8927;6423;0;0;56.44;96.11;11.5;0;10000
716400;72946;60605;5324;0;3993;0;9180;6768;0;0;56.44;96.11;11.5;0;10000
720000;81089;70000;5863;0;4397;0;9180;7194;0;0;56.44;96.11;11.5;0;10000
723600;85395;77203;6466;0;4849;0;9180;7409;5;77;56.44;96.11;11.5;0;10000
727200;84779;79172;6741;0;5056;0;9180;7526;376;1312;56.44;96.11;11.5;0;10000
730800;84308;79660;6627;0;4970;0;9180;7563;1636;2016;56.44;96.11;11.5;0;10000
734400;84240;79570;6426;0;4819;0;9120;7428;2898;2531;56.44;96.11;11.5;0;10000
738000;83852;77913;6328;0;4746;0;9156;7315;3775;2697;56.44;96.11;11.5;0;10000
741600;82549;77035;6386;0;4789;0;9180;7412;3804;2634;56.44;96.11;11.5;0;10000
745200;80320;75985;5995;0;4496;0;9180;7353;3266;2438;56.44;96.11;11.5;0;10000
748800;77656;75605;5859;0;4394;0;9180;7350;2458;2008;56.44;96.11;11.5;0;10000
752400;75983;76319;5861;0;4396;0;9180;7461;1244;1439;56.44;96.11;11.5;0;10000
756000;76828;79747;5855;0;4391;0;9180;7509;189;435;56.44;96.11;11.5;0;10000
759600;81417;80508;6247;0;4685;0;9180;7456;0;0;56.44;96.11;11.5;0;10000
763200;82344;78517;6559;0;4919;0;9180;7201;0;0;56.44;96.11;11.5;0;10000
766800;78442;74415;6267;0;4700;0;9180;6992;0;0;56.44;96.11;11.5;0;10000
770400;73949;70112;5696;0;4272;0;9180;6658;0;0;56.44;96.11;11.5;0;10000
774000;71069;65759;5611;0;4208;0;9180;6177;0;0;56.44;96.11;11.5;0;10000
777600;73184;60678;5576;1076;4182;807;9180;6385;0;0;56.44;96.11;11.5;0;10000
781200;70885;55546;5457;0;4093;0;9180;6259;0;0;56.44;96.11;11.5;0;10000
784800;65684;52307;5342;0;4007;0;9180;6362;0;0;56.44;96.11;11.5;0;10000
788400;63782;50269;5160;0;3870;0;9180;6330;0;0;56.44;96.11;11.5;0;10000
792000;60104;48935;4885;0;3664;0;9180;6364;0;0;56.44;96.11;11.5;0;10000
795600;57609;48253;4785;0;3588;0;9180;6382;0;0;56.44;96.11;11.5;0;10000
799200;57227;48274;4807;0;3605;0;9180;6471;0;0;56.44;96.11;11.5;0;10000
802800;58979;50026;4799;0;3599;0;9099;6984;0;0;56.44;96.11;11.5;0;10000
806400;61588;54179;4990;0;3742;0;9154;7225;0;0;56.44;96.11;11.5;0;10000
810000;64525;58433;5194;0;3896;0;9180;7375;1;77;56.44;96.11;11.5;0;10000
813600;66750;62642;5326;0;3995;0;9180;7457;319;1039;56.44;96.11;11.5;0;10000
817200;68395;65296;5433;0;4075;0;9180;7415;1425;2044;56.44;96.11;11.5;0;10000
820800;68925;66157;5375;0;4031;0;9180;7380;2693;2981;56.44;96.11;11.5;0;10000
824400;69866;65652;5376;0;4032;0;9180;7455;3549;3477;56.44;96.11;11.5;0;10000
828000;69886;64350;5325;0;3994;0;9180;7401;3703;3331;56.44;96.11;11.5;0;10000
831600;67077;62747;5221;0;3916;0;9180;7424;3231;2713;56.44;96.11;11.5;0;10000
835200;64454;61714;5075;0;3806;0;9140;7285;2288;2029;56.44;96.11;11.5;0;10000
838800;63012;62631;5110;0;3833;0;8681;7223;1012;1403;56.44;96.11;11.5;0;10000
842400;64329;67368;5418;0;4063;0;8280;7241;119;445;56.44;96.11;11.5;0;10000
846000;69927;70413;5688;0;4266;0;7893;7190;7;0;56.44;96.11;11.5;0;10000
849600;71998;69634;5932;0;4449;0;7371;7112;1;0;56.44;96.11;11.5;0;10000
853200;69455;66285;5658;0;4244;0;6456;7079;0;0;56.44;96.11;11.5;0;10000
856800;66424;63315;5455;0;4091;0;5660;6996;0;0;56.44;96.11;11.5;0;10000
860400;64992;60582;5305;0;3979;0;5239;6833;0;0;56.44;96.11;11.5;0;10000
864000;68736;56785;5297;1192;3972;894;4726;6850;0;0;56.44;96.11;11.5;0;10000
867600;67919;52459;5193;0;3895;0;4592;6674;0;0;56.44;96.11;11.5;0;10000
871200;63689;49637;4959;0;3719;0;4653;6615;0;0;56.44;96.11;11.5;0;10000
874800;62152;47716;4767;0;3575;0;4994;6540;0;0;56.44;96.11;11.5;0;10000
878400;58589;46373;4624;0;3468;0;5012;6592;0;0;56.44;96.11;11.5;0;10000
882000;56132;45803;4418;0;3313;0;5121;6780;0;0;56.44;96.11;11.5;0;10000
885600;55788;45622;4362;0;3272;0;5549;6995;0;0;56.44;96.11;11.5;0;10000
889200;57000;45961;4350;0;3263;0;6055;7189;0;0;56.44;96.11;11.5;0;10000
892800;58775;47786;4483;0;3362;0;6761;7399;0;0;56.44;96.11;11.5;0;10000
896400;60917;50394;4830;0;3623;0;6996;7627;5;109;56.44;96.11;11.5;0;10000
900000;63688;54518;5094;0;3820;0;6936;7725;538;1643;56.44;96.11;11.5;0;10000
903600;66857;58471;5222;0;3917;0;6580;7912;2419;2867;56.44;96.11;11.5;0;10000
907200;68296;61237;5268;0;3951;0;6577;7990;4740;3573;56.44;96.11;11.5;0;10000
910800;69759;61564;5241;0;3931;0;6796;8029;6450;4028;56.44;96.11;11.5;0;10000
914400;69583;60744;5157;0;3867;0;6830;8057;6778;4065;56.44;96.11;11.5;0;10000
918000;65685;59787;5059;0;3794;0;6676;8060;6184;3900;56.44;96.11;11.5;0;10000
921600;62509;58980;5057;0;3793;0;6138;7846;4634;2989;56.44;96.11;11.5;0;10000
925200;61368;59866;5147;0;3860;0;5529;7682;2392;1984;56.44;96.11;11.5;0;10000
928800;63693;64832;5294;0;3971;0;5466;7713;405;446;56.44;96.11;11.5;0;10000
932400;71294;67806;5662;0;4247;0;6125;7787;7;0;56.44;96.11;11.5;0;10000
936000;75322;67689;6112;0;4584;0;6697;7722;1;0;56.44;96.11;11.5;0;10000
939600;74331;65529;5918;0;4438;0;6953;7524;0;0;56.44;96.11;11.5;0;10000
943200;71897;63228;5687;0;4265;0;7095;7197;0;0;56.44;96.11;11.5;0;10000
946800;69992;60739;5481;0;4110;0;7095;6814;0;0;56.44;96.11;11.5;0;10000
950400;73204;56408;5524;2612;4143;1959;6927;6612;0;0;56.44;96.11;11.5;0;10000
954000;72214;52007;5430;0;4072;0;6983;6046;0;0;56.44;96.11;11.5;0;10000
957600;68481;49613;5120;0;3840;0;7155;5840;0;0;56.44;96.11;11.5;0;10000
961200;67889;48377;4916;0;3687;0;7240;5749;0;0;56.44;96.11;11.5;0;10000
964800;65151;47933;4805;0;3603;0;7333;5658;0;0;56.44;96.11;11.5;0;10000
968400;63566;48374;4722;0;3541;0;7498;5614;0;0;56.44;96.11;11.5;0;10000
972000;65747;51116;5049;0;3786;0;7634;5675;0;0;56.44;96.11;11.5;0;10000
975600;72092;59205;5250;0;3938;0;7707;5859;0;0;56.44;96.11;11.5;0;10000
979200;80926;69230;5832;0;4374;0;7851;6493;0;0;56.44;96.11;11.5;0;10000
982800;85808;76407;6470;0;4852;0;8113;7097;8;90;56.44;96.11;11.5;0;10000
986400;85963;78421;6775;0;5081;0;8119;7281;907;1090;56.44;96.11;11.5;0;10000
990000;85567;79468;6839;0;5129;0;8035;7825;3432;1993;56.44;96.11;11.5;0;10000
993600;85085;79941;6859;0;5144;0;7991;7992;5722;2927;56.44;96.11;11.5;0;10000
997200;84436;78689;6629;0;4972;0;8067;8077;6828;3086;56.44;96.11;11.5;0;10000
1000800;82991;78330;6404;0;4803;0;8041;8127;6993;3140;56.44;96.11;11.5;0;10000
1004400;80877;77523;5963;0;4472;0;7841;8136;6362;2708;56.44;96.11;11.5;0;10000
1008000;78021;76853;5939;0;4454;0;7698;7983;4933;1941;56.44;96.11;11.5;0;10000
1011600;76910;77541;6054;0;4541;0;7645;7637;2582;1419;56.44;96.11;11.5;0;10000
1015200;78386;81423;6367;0;4775;0;7851;7386;444;369;56.44;96.11;11.5;0;10000
1018800;84800;82725;7000;0;5250;0;8111;7594;1;0;56.44;96.11;11.5;0;10000
1022400;87262;81283;7210;0;5407;0;8369;7767;0;0;56.44;96.11;11.5;0;10000
1026000;83311;77621;6899;0;5174;0;8488;7812;0;0;56.44;96.11;11.5;0;10000
1029600;78324;73438;6251;0;4688;0;8688;7813;0;0;56.44;96.11;11.5;0;10000
1033200;75219;68187;5995;0;4496;0;8789;7609;0;0;56.44;96.11;11.5;0;10000
1036800;77723;62122;5911;2850;4433;2137;8744;7344;0;0;56.44;96.11;11.5;0;10000
1040400;75984;56760;5780;0;4335;0;8630;7149;0;0;56.44;96.11;11.5;0;10000
1044000;71345;53923;5671;0;4253;0;8436;7024;0;0;56.44;96.11;11.5;0;10000
1047600;70236;52450;5471;0;4103;0;8409;6759;0;0;56.44;96.11;11.5;0;10000
1051200;67414;51899;5460;0;4095;0;8616;6429;0;0;56.44;96.11;11.5;0;10000
1054800;65528;52224;5531;0;4148;0;8506;6537;0;0;56.44;96.11;11.5;0;10000
