t,Input_0,Input_1,Output_0
65,1.0,2.0,2.0110068321228027
66,1.0,2.0,2.0110068321228027
67,1.0,2.0,2.0110068321228027
68,1.0,2.0,2.0110068321228027
69,1.0,2.0,2.0110068321228027
70,1.0,2.0,2.0110068321228027
71,1.0,2.0,2.0110068321228027
72,1.0,2.0,2.0110068321228027
73,1.0,2.0,2.0110068321228027
74,1.0,2.0,2.0110068321228027
75,1.0,2.0,2.0110068321228027
76,1.0,2.0,2.0110068321228027
77,1.0,2.0,2.0110068321228027
78,1.0,2.0,2.0110068321228027
79,1.0,2.0,2.0110068321228027
80,1.0,2.0,2.0110068321228027
81,1.0,2.0,2.0110068321228027
82,1.0,2.0,2.0110068321228027
83,1.0,2.0,2.0110068321228027
84,1.0,2.0,2.0110068321228027
85,1.0,2.0,2.0110068321228027
86,1.0,2.0,2.0110068321228027
87,1.0,2.0,2.0110068321228027
88,0.806334841628959,1.612669683257918,1.8812415599822998
89,0.6,1.2,1.7429869174957275
90,0.6,1.2,1.7429869174957275
91,0.6,1.2,1.7429869174957275
92,0.6,1.2,1.7429869174957275
93,0.6,1.2,1.7429869174957275
94,0.6,1.2,1.7429869174957275
95,0.6,1.2,1.7429869174957275
96,0.723076923076923,1.446153846153846,1.825454592704773
97,1.0,2.0,2.0110068321228027
98,1.0,2.0,2.0110068321228027
99,1.0,2.0,2.0110068321228027
100,1.0,2.0,2.0110068321228027
101,1.0,2.0,2.0110068321228027
102,1.0,2.0,2.0110068321228027
103,1.0,2.0,2.0110068321228027
104,1.0,2.0,2.0110068321228027
105,1.0,2.0,2.0110068321228027
106,1.0,2.0,2.0110068321228027
107,1.0,2.0,2.0110068321228027
108,1.0,2.0,2.0110068321228027
109,0.9578125,1.915625,1.9827390909194946
110,0.7,1.4,1.8099918365478516
111,0.7,1.4,1.8099918365478516
112,0.7,1.4,1.8099918365478516
113,0.7,1.4,1.8099918365478516
114,0.7,1.4,1.8099918365478516
115,0.7,1.4,1.8099918365478516
116,0.7,1.4,1.8099918365478516
117,0.7,1.4,1.8099918365478516
118,0.9296875,1.859375,1.963894009590149
119,1.0,2.0,2.0110068321228027
120,1.0,2.0,2.0110068321228027
121,1.0,2.0,2.0110068321228027
122,1.0,2.0,2.0110068321228027
123,1.0,2.0,2.0110068321228027
124,1.0,2.0,2.0110068321228027
125,0.728125,1.45625,1.8288370370864868
126,0.6,1.2,1.7429869174957275
127,0.6,1.2,1.7429869174957275
128,0.6,1.2,1.7429869174957275
129,0.6,1.2,1.7429869174957275
130,0.6,1.2,1.7429869174957275
131,0.836666666666666,1.673333333333332,1.9015653133392334
132,1.0,2.0,2.0110068321228027
133,1.0,2.0,2.0110068321228027
134,1.0,2.0,2.0110068321228027
135,1.0,2.0,2.0110068321228027
136,0.9,1.8,1.9440019130706787
137,0.8,1.6,1.8769968748092651
138,0.8,1.6,1.8769968748092651
139,0.8,1.6,1.8769968748092651
140,0.8,1.6,1.8769968748092651
141,0.8,1.6,1.8769968748092651
142,0.8,1.6,1.8769968748092651
143,0.8,1.6,1.8769968748092651
144,0.886666666666666,1.773333333333332,1.935067892074585
145,1.0,2.0,2.0110068321228027
146,1.0,2.0,2.0110068321228027
147,1.0,2.0,2.0110068321228027
148,1.0,2.0,2.0110068321228027
149,1.0,2.0,2.0110068321228027
150,1.0,2.0,2.0110068321228027
151,1.0,2.0,2.0110068321228027
152,1.0,2.0,2.0110068321228027
153,1.0,2.0,2.0110068321228027
154,1.0,2.0,2.0110068321228027
155,1.0,2.0,2.0110068321228027
156,1.0,2.0,2.0110068321228027
157,1.0,2.0,2.0110068321228027
158,1.0,2.0,2.0110068321228027
159,1.0,2.0,2.0110068321228027
160,1.0,2.0,2.0110068321228027
161,1.0,2.0,2.0110068321228027
162,1.0,2.0,2.0110068321228027
163,1.0,2.0,2.0110068321228027
164,1.0,2.0,2.0110068321228027
165,1.0,2.0,2.0110068321228027
166,1.0,2.0,2.0110068321228027
167,1.0,2.0,2.0110068321228027
168,1.0,2.0,2.0110068321228027
169,1.0,2.0,2.0110068321228027
170,1.0,2.0,2.0110068321228027
171,1.0,2.0,2.0110068321228027
172,1.0,2.0,2.0110068321228027
173,1.0,2.0,2.0110068321228027
174,1.0,2.0,2.0110068321228027
175,1.0,2.0,2.0110068321228027
176,1.0,2.0,2.0110068321228027
177,1.0,2.0,2.0110068321228027
178,1.0,2.0,2.0110068321228027
179,1.0,2.0,2.0110068321228027
180,1.0,2.0,2.0110068321228027
181,0.772222222222222,1.544444444444444,1.858384370803833
182,0.3,0.6,1.5419719219207764
183,0.3,0.6,1.5419719219207764
184,0.3,0.6,1.5419719219207764
185,0.3,0.6,1.5419719219207764
186,0.3,0.6,1.5419719219207764
187,0.3,0.6,1.5419719219207764
188,0.3,0.6,1.5419719219207764
189,0.3703125,0.740625,1.5890848636627197
190,0.9625,1.925,1.985879898071289
191,1.0,2.0,2.0110068321228027
192,0.583333333333333,1.166666666666666,1.7318193912506104
193,0.4,0.8,1.60897696018219
194,0.4,0.8,1.60897696018219
195,0.4,0.8,1.60897696018219
196,0.4,0.8,1.60897696018219
197,0.4,0.8,1.60897696018219
198,0.4,0.8,1.60897696018219
199,0.4,0.8,1.60897696018219
200,0.735294117647058,1.470588235294116,1.833640694618225
201,1.0,2.0,2.0110068321228027
202,0.75,1.5,1.8434944152832031
203,0.4,0.8,1.60897696018219
204,0.4,0.8,1.60897696018219
205,0.4,0.8,1.60897696018219
206,0.4,0.8,1.60897696018219
207,0.4,0.8,1.60897696018219
208,0.4,0.8,1.60897696018219
209,0.4,0.8,1.60897696018219
210,0.583333333333333,1.166666666666666,1.7318193912506104
211,1.0,2.0,2.0110068321228027
212,1.0,2.0,2.0110068321228027
213,1.0,2.0,2.0110068321228027
214,1.0,2.0,2.0110068321228027
215,1.0,2.0,2.0110068321228027
216,1.0,2.0,2.0110068321228027
217,1.0,2.0,2.0110068321228027
218,1.0,2.0,2.0110068321228027
219,1.0,2.0,2.0110068321228027
220,1.0,2.0,2.0110068321228027
221,1.0,2.0,2.0110068321228027
222,1.0,2.0,2.0110068321228027
223,0.979910714285714,1.959821428571428,1.9975459575653076
224,0.5732421875,1.146484375,1.72505784034729
225,0.5,1.0,1.6759819984436035
226,0.5,1.0,1.6759819984436035
227,0.5,1.0,1.6759819984436035
228,0.5,1.0,1.6759819984436035
229,0.5,1.0,1.6759819984436035
230,0.5,1.0,1.6759819984436035
231,0.5,1.0,1.6759819984436035
232,0.795230263157894,1.590460526315788,1.8738008737564087
233,1.0,2.0,2.0110068321228027
234,1.0,2.0,2.0110068321228027
235,1.0,2.0,2.0110068321228027
236,1.0,2.0,2.0110068321228027
237,1.0,2.0,2.0110068321228027
238,1.0,2.0,2.0110068321228027
239,1.0,2.0,2.0110068321228027
240,1.0,2.0,2.0110068321228027
241,1.0,2.0,2.0110068321228027
242,1.0,2.0,2.0110068321228027
243,1.0,2.0,2.0110068321228027
244,1.0,2.0,2.0110068321228027
245,1.0,2.0,2.0110068321228027
246,1.0,2.0,2.0110068321228027
247,1.0,2.0,2.0110068321228027
248,1.0,2.0,2.0110068321228027
249,1.0,2.0,2.0110068321228027
250,0.85,1.7,1.9104993343353271
251,0.7,1.4,1.8099918365478516
252,0.7,1.4,1.8099918365478516
253,0.7,1.4,1.8099918365478516
254,0.7,1.4,1.8099918365478516
255,0.7,1.4,1.8099918365478516
256,0.83,1.66,1.897098422050476
257,1.0,2.0,2.0110068321228027
258,1.0,2.0,2.0110068321228027
259,1.0,2.0,2.0110068321228027
260,1.0,2.0,2.0110068321228027
261,1.0,2.0,2.0110068321228027
262,1.0,2.0,2.0110068321228027
263,1.0,2.0,2.0110068321228027
264,1.0,2.0,2.0110068321228027
265,1.0,2.0,2.0110068321228027
266,1.0,2.0,2.0110068321228027
267,1.0,2.0,2.0110068321228027
268,1.0,2.0,2.0110068321228027
269,1.0,2.0,2.0110068321228027
270,1.0,2.0,2.0110068321228027
271,1.0,2.0,2.0110068321228027
272,1.0,2.0,2.0110068321228027
273,1.0,2.0,2.0110068321228027
274,1.0,2.0,2.0110068321228027
275,1.0,2.0,2.0110068321228027
276,1.0,2.0,2.0110068321228027
277,1.0,2.0,2.0110068321228027
278,1.0,2.0,2.0110068321228027
279,1.0,2.0,2.0110068321228027
280,1.0,2.0,2.0110068321228027
281,1.0,2.0,2.0110068321228027
282,1.0,2.0,2.0110068321228027
283,1.0,2.0,2.0110068321228027
284,1.0,2.0,2.0110068321228027
285,1.0,2.0,2.0110068321228027
286,1.0,2.0,2.0110068321228027
287,1.0,2.0,2.0110068321228027
288,1.0,2.0,2.0110068321228027
289,1.0,2.0,2.0110068321228027
290,1.0,2.0,2.0110068321228027
291,1.0,2.0,2.0110068321228027
292,1.0,2.0,2.0110068321228027
293,1.0,2.0,2.0110068321228027
294,1.0,2.0,2.0110068321228027
295,1.0,2.0,2.0110068321228027
296,1.0,2.0,2.0110068321228027
297,1.0,2.0,2.0110068321228027
298,1.0,2.0,2.0110068321228027
299,1.0,2.0,2.0110068321228027
300,1.0,2.0,2.0110068321228027
301,1.0,2.0,2.0110068321228027
302,1.0,2.0,2.0110068321228027
303,1.0,2.0,2.0110068321228027
304,1.0,2.0,2.0110068321228027
305,1.0,2.0,2.0110068321228027
306,1.0,2.0,2.0110068321228027
307,1.0,2.0,2.0110068321228027
308,1.0,2.0,2.0110068321228027
309,1.0,2.0,2.0110068321228027
310,1.0,2.0,2.0110068321228027
311,1.0,2.0,2.0110068321228027
312,1.0,2.0,2.0110068321228027
313,1.0,2.0,2.0110068321228027
314,1.0,2.0,2.0110068321228027
315,1.0,2.0,2.0110068321228027
316,1.0,2.0,2.0110068321228027
317,1.0,2.0,2.0110068321228027
318,1.0,2.0,2.0110068321228027
319,1.0,2.0,2.0110068321228027
320,1.0,2.0,2.0110068321228027
321,1.0,2.0,2.0110068321228027
322,1.0,2.0,2.0110068321228027
323,1.0,2.0,2.0110068321228027
324,1.0,2.0,2.0110068321228027
325,0.805882352941176,1.611764705882352,1.8809382915496826
326,0.4,0.8,1.60897696018219
327,0.4,0.8,1.60897696018219
328,0.4,0.8,1.60897696018219
329,0.4,0.8,1.60897696018219
330,0.4,0.8,1.60897696018219
331,0.4,0.8,1.60897696018219
332,0.4,0.8,1.60897696018219
333,0.492647058823529,0.985294117647058,1.6710550785064697
334,0.994230769230769,1.988461538461538,2.00714111328125
335,1.0,2.0,2.0110068321228027
336,0.55,1.1,1.7094844579696655
337,0.4,0.8,1.60897696018219
338,0.4,0.8,1.60897696018219
339,0.4,0.8,1.60897696018219
340,0.4,0.8,1.60897696018219
341,0.4,0.8,1.60897696018219
342,0.4,0.8,1.60897696018219
343,0.4,0.8,1.60897696018219
344,0.770588235294117,1.541176470588234,1.8572895526885986
345,1.0,2.0,2.0110068321228027
346,0.716666666666666,1.433333333333332,1.8211593627929688
347,0.4,0.8,1.60897696018219
348,0.4,0.8,1.60897696018219
349,0.4,0.8,1.60897696018219
350,0.4,0.8,1.60897696018219
351,0.4,0.8,1.60897696018219
352,0.4,0.8,1.60897696018219
353,0.4,0.8,1.60897696018219
354,0.594117647058823,1.188235294117646,1.73904550075531
355,1.0,2.0,2.0110068321228027
356,1.0,2.0,2.0110068321228027
357,0.943606138107416,1.887212276214832,1.9732201099395752
358,0.398067632850241,0.796135265700482,1.607682228088379
359,0.3,0.6,1.5419719219207764
360,0.3,0.6,1.5419719219207764
361,0.3,0.6,1.5419719219207764
362,0.3,0.6,1.5419719219207764
363,0.3,0.6,1.5419719219207764
364,0.3,0.6,1.5419719219207764
365,0.3,0.6,1.5419719219207764
366,0.67697628458498,1.35395256916996,1.7945648431777954
367,1.0,2.0,2.0110068321228027
368,1.0,2.0,2.0110068321228027
369,1.0,2.0,2.0110068321228027
370,1.0,2.0,2.0110068321228027
371,1.0,2.0,2.0110068321228027
372,1.0,2.0,2.0110068321228027
